block_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
8685,6586.5,28,81859.83333333333,15,27,NA,NA,1663.6666666666667,26,NA,NA,1204.3602294921875,16
8686,6586.5,28,81860.5,15,27,NA,NA,1664,26,NA,NA,1206.501708984375,16
8687,6586.5,28,81860.33333333333,15,27,NA,NA,1664,26,NA,NA,1208.6267496744792,16
8688,6586.166666666667,28,81860.16666666667,15,27,NA,NA,1664,26,NA,NA,1211.1734415690105,16
8689,6592,28,81862,15,27,NA,NA,1664,26,NA,NA,1209.211452907986,16
8690,6592,28,81862.33333333333,15,27,NA,NA,1664,26,NA,NA,1211.2878011067708,16
8691,6592,28,81862.22222222222,15,27,NA,NA,1664,26,NA,NA,1213.3482530381943,16
8692,6591.222222222223,28,81861.55555555556,15,27,NA,NA,1664,26,NA,NA,1215.8174641927083,16
8693,6592,28,81862.11111111111,15,27,NA,NA,1664.111111111111,26,NA,NA,1215.102267795139,16
8694,6592,28,81862.5,15,27,NA,NA,1664,26,NA,NA,1216.1837463378906,16
8695,6592,28,81862,15,27,NA,NA,1664,26,NA,NA,1218.1780395507812,16
8696,6592,28,81862,15,27,NA,NA,1664,26,NA,NA,1220.5680745442708,16
8697,6592,28,81863,15,27,NA,NA,1665,26,NA,NA,1219.953145345052,16
8698,6592,28,81863.85714285714,15,27,NA,NA,1665,26,NA,NA,1221.3441859654017,16
8699,6592,28,81863,15,27,NA,NA,1665,26,NA,NA,1222.6844329833984,16
8700,6592,28,81862.88888888889,15,27,NA,NA,1665,26,NA,NA,1225.144992404514,16
8701,6588.726415094339,28,81862.72641509434,15,27,NA,NA,1664.0943396226414,26,NA,NA,1215.535958919885,16
8702,6580.390909090909,28,85206.73636363636,15.4,27.5,NA,NA,1711.1181818181817,26.9,NA,NA,1205.8134232954546,16
8703,6564,28,90132,16,28,NA,NA,1766,28,NA,NA,1205.1270887586807,16
8704,6564,28,90132.33333333333,16,28,NA,NA,1765.8333333333333,28,NA,NA,1204.2954508463542,16
8705,6568,28,90133.44444444444,16,28,NA,NA,1765.2222222222222,28,NA,NA,1203.4468994140625,16
8706,6568,28,90134,16,28,NA,NA,1765,28,NA,NA,1202.4319932725693,16
8707,6564.166666666667,28,90132,16,28,NA,NA,1766,28,NA,NA,1201.6552327473958,16
8708,6564,28,90132,16,28,NA,NA,1766,28,NA,NA,1199.8626403808594,16
8709,6568,28,90133.83333333333,16,28,NA,NA,1765.8333333333333,28,NA,NA,1198.0336303710938,16
8710,6568,28,90134.33333333333,16,28,NA,NA,1765.8333333333333,28,NA,NA,1195.8460083007812,16
8711,6570.444444444444,28,90136.33333333333,16,28,NA,NA,1766.6666666666667,28,NA,NA,1198.2074652777778,16
8712,6570.5,28,90136,16,28,NA,NA,1766,28,NA,NA,1195.4605916341145,16
8713,6572.666666666667,28,90137,16,28,NA,NA,1766,28,NA,NA,1192.657958984375,16
8714,6572.444444444444,28,90136.77777777778,16,28,NA,NA,1766,28,NA,NA,1189.3058268229167,16
8715,6571,28,90136,16,28,NA,NA,1767,28,NA,NA,1194.0762125651042,16
8716,6571.333333333333,28,90136.16666666667,16,28,NA,NA,1767,28,NA,NA,1190.185770670573,16
8717,6573,28,90137.71428571429,16,28,NA,NA,1767,28,NA,NA,1187.0992257254463,16
8718,6573,28,90138,16,28,NA,NA,1767,28,NA,NA,1182.8438924153645,16
8719,6569.17,28,90137.71,16,28,NA,NA,1765.9,28,NA,NA,1200.1366491699218,16
8720,6569.92,28,90142.66,16,28.03,NA,NA,1765.86,28,NA,NA,1216.6423547363281,16.19
8721,6574.645454545454,28,90149.17272727273,16,28.4,NA,NA,1765.3272727272727,28,NA,NA,1234.0319879705255,16.6
8722,6582.761904761905,28,90162.23809523809,16,28.904761904761905,NA,NA,1764.7142857142858,28,NA,NA,1263.4130777994792,17.104761904761904
8723,6594.881818181818,28,90183.53636363636,16,29,NA,NA,1765.7,28,NA,NA,1299.3297674005682,17.645454545454545
8724,6589,28,81865,15,27,NA,NA,1665,26,NA,NA,1210.2332560221355,16
8725,6589.5,28,81866,15,27,NA,NA,1665,26,NA,NA,1205.3138122558594,16
8726,6579,28,87492.83333333333,15.666666666666666,28,NA,NA,1753.3333333333333,27.666666666666668,NA,NA,1200.4690551757812,16
8727,6571,28,90135.5,16,28,NA,NA,1767,28,NA,NA,1195.5532531738281,16
8728,6593.555555555556,28,81866,15,27,NA,NA,1665,26,NA,NA,1210.6534830729167,16
8729,6591.5,28,81867.5,15,27,NA,NA,1665,26,NA,NA,1204.7503051757812,16
