aphia_id,ds_key,lyr_key,path_tif,category,rl_score,url,scientificname,authority,status,unacceptreason,taxon_rank_id,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,citation,lsid,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,modified
105832,am,am_105832,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105832.tif,NT,1,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105832,Heptranchias perlo,"(Bonnaterre, 1788)",accepted,NA,220,Species,105832,Heptranchias perlo,"(Bonnaterre, 1788)",105738,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Heptranchias perlo (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105832 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105832,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105833,am,am_105833,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105833.tif,NT,1,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105833,Hexanchus griseus,"(Bonnaterre, 1788)",accepted,NA,220,Species,105833,Hexanchus griseus,"(Bonnaterre, 1788)",105739,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Hexanchus griseus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105833 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105833,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105834,am,am_105834,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105834.tif,NT,1,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105834,Hexanchus nakamurai,"Teng, 1962",accepted,NA,220,Species,105834,Hexanchus nakamurai,"Teng, 1962",105739,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Hexanchus nakamurai Teng, 1962. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105834 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105834,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105837,am,am_105837,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105837.tif,EN,3,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105837,Cetorhinus maximus,"(Gunnerus, 1765)",accepted,NA,220,Species,105837,Cetorhinus maximus,"(Gunnerus, 1765)",105741,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Cetorhinus maximus (Gunnerus, 1765). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105837 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105837,1,0,0,0,NA,exact,2017-08-08T06:37:06.527Z
105838,am,am_105838,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105838.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105838,Carcharodon carcharias,"(Linnaeus, 1758)",accepted,NA,220,Species,105838,Carcharodon carcharias,"(Linnaeus, 1758)",105742,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharodon carcharias (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105838 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105838,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
105839,am,am_105839,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105839.tif,EN,3,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105839,Isurus oxyrinchus,"Rafinesque, 1810",accepted,NA,220,Species,105839,Isurus oxyrinchus,"Rafinesque, 1810",105743,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Isurus oxyrinchus Rafinesque, 1810. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105839 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105839,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105841,am,am_105841,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105841.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105841,Lamna nasus,"(Bonnaterre, 1788)",accepted,NA,220,Species,105841,Lamna nasus,"(Bonnaterre, 1788)",105744,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Lamna nasus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105841 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105841,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105843,am,am_105843,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105843.tif,CR,4,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105843,Carcharias taurus,"Rafinesque, 1810",accepted,NA,220,Species,105843,Carcharias taurus,"Rafinesque, 1810",105746,Animalia,Chordata,Elasmobranchii,Lamniformes,Odontaspididae,Carcharias,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Carcharias taurus Rafinesque, 1810. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105843 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105843,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105844,am,am_105844,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105844.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105844,Odontaspis ferox,"(Risso, 1810)",accepted,NA,220,Species,105844,Odontaspis ferox,"(Risso, 1810)",105747,Animalia,Chordata,Elasmobranchii,Lamniformes,Odontaspididae,Odontaspis,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Odontaspis ferox (Risso, 1810). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105844 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105844,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
105846,am,am_105846,/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/am_105846.tif,VU,2,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105846,Ginglymostoma cirratum,"(Bonnaterre, 1788)",accepted,NA,220,Species,105846,Ginglymostoma cirratum,"(Bonnaterre, 1788)",105748,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Ginglymostoma cirratum (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105846 on 2022-11-16",urn:lsid:marinespecies.org:taxname:105846,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
